학년도,시도,학업중단자 총계,초등학교,,,중학교,,,,,,,,고등학교,,,,,,,,,,,,,,
,,,계,유예,면제,계,2003년 이후 기준,,2002년까지의 기준,,,,,계,유예,면제,자퇴(~2011학년도까지의 기준),,,,,자퇴(2012학년도 이후 기준),,,,,퇴학,제적
,,,,,,,유예,면제,질병,부적응,품행,가사,기타,,,,질병,부적응,품행,가사,기타,질병,가사,부적응,해외출국,기타,,
2018,세종,555,291,75,216,97,52,45,0,0,0,0,0,167,0,0,0,0,0,0,0,8,0,35,39,75,8,2
2019,세종,748,408,81,327,114,62,52,0,0,0,0,0,226,0,0,0,0,0,0,0,9,1,38,27,143,8,0
1999,경기,13624,3288,3288,0,3101,0,0,160,866,85,717,1273,7235,0,0,363,2790,384,2680,1018,0,0,0,0,0,0,0
2000,경기,15746,3591,3591,0,3769,0,0,177,863,94,815,1820,8386,0,0,255,3463,320,2831,1517,0,0,0,0,0,0,0
2001,경기,17689,5091,5091,0,4245,0,0,170,895,63,863,2254,8353,0,0,298,2936,130,3025,1964,0,0,0,0,0,0,0
2002,경기,15313,5049,5049,0,3485,0,0,149,439,179,841,1877,6779,0,0,246,2254,280,2261,1738,0,0,0,0,0,0,0
2003,경기,16931,8977,8902,75,3097,2894,203,0,0,0,0,0,4857,0,0,256,1943,115,1403,1140,0,0,0,0,0,0,0
2004,경기,13304,5097,5060,37,3544,3464,80,0,0,0,0,0,4663,0,0,253,1845,94,1335,1136,0,0,0,0,0,0,0
2005,경기,15065,6182,6098,84,4057,3939,118,0,0,0,0,0,4826,0,0,309,1769,98,1207,1443,0,0,0,0,0,0,0
2006,경기,20338,8442,8385,57,5351,5269,82,0,0,0,0,0,6545,0,0,556,2437,176,1959,1417,0,0,0,0,0,0,0
2007,경기,21272,7327,7281,46,6045,5983,62,0,0,0,0,0,7900,0,0,465,4227,307,2830,71,0,0,0,0,0,0,0
2008,경기,20430,6116,6029,87,5781,5736,45,0,0,0,0,0,8533,0,0,475,5122,206,2416,314,0,0,0,0,0,0,0
2009,경기,17059,3798,3699,99,4373,4284,89,0,0,0,0,0,8888,0,0,500,4490,104,1686,2108,0,0,0,0,0,0,0
2010,경기,21551,6101,4188,1913,5391,4695,696,0,0,0,0,0,10059,0,0,469,4892,72,670,3956,0,0,0,0,0,0,0
